ENS ID,Transcript length (including UTRs and CDS),Chromosome,HGNC symbol
ENSG00000184908,2.567,1,CLCNKB
ENSG00000142623,3.846,1,PADI1
ENSG00000162493,3.104,1,PDPN
ENSG00000284702,1.873,1,
ENSG00000232022,1.238,1,FAAHP1
ENSG00000261798,1.196,1,
ENSG00000224863,1.129,1,LINC01398
ENSG00000229213,0.154,1,
ENSG00000284719,0.801,1,
ENSG00000284678,0.673,1,
ENSG00000121775,2.087,1,TMEM39B
ENSG00000130772,0.862,1,MED18
ENSG00000197587,2.88,1,DMBX1
ENSG00000142949,0.415,1,PTPRF
ENSG00000203325,0.624,1,
ENSG00000121774,2.713,1,KHDRBS1
ENSG00000185519,1.72,1,FAM131C
ENSG00000142619,3.189,1,PADI3
ENSG00000159339,0.841,1,PADI4
ENSG00000043514,5.93,1,TRIT1
ENSG00000142627,3.946,1,EPHA2
ENSG00000276747,2.396,1,PADI6
ENSG00000227959,0.904,1,
ENSG00000179051,4.04,1,RCC2
ENSG00000282881,1.633,1,TMEM275
ENSG00000162456,2.32,1,KNCN
ENSG00000227751,0.311,1,RCC2-AS1
ENSG00000142961,2.8,1,MOB3C
ENSG00000269956,2.445,1,MKNK1-AS1
ENSG00000079277,2.422,1,MKNK1
ENSG00000237445,0.379,1,
ENSG00000116731,0.628,1,PRDM2
ENSG00000224621,0.544,1,
ENSG00000142632,2.035,1,ARHGEF19
ENSG00000234166,0.439,1,ARHGEF19-AS1
ENSG00000074964,4.625,1,ARHGEF10L
ENSG00000175147,7.1,1,TMEM51-AS1
ENSG00000215720,0.71,1,
ENSG00000189337,1.197,1,KAZN
ENSG00000196182,4.837,1,STK40
ENSG00000231606,0.282,1,
ENSG00000235829,0.326,1,TBCAP2
ENSG00000234593,0.764,1,KAZN-AS1
ENSG00000171729,1.843,1,TMEM51
ENSG00000204464,0.441,1,C1orf195
ENSG00000232768,0.163,1,
ENSG00000237329,0.507,1,
ENSG00000134644,4.631,1,PUM1
ENSG00000225675,0.567,1,LINC01771
ENSG00000285954,0.886,1,
ENSG00000226938,0.383,1,
ENSG00000230138,0.85,1,
ENSG00000025800,7.355,1,KPNA6
ENSG00000236253,0.46,1,SLC25A3P1
ENSG00000248333,2.998,1,CDK11B
ENSG00000143006,1.91,1,DMRTB1
ENSG00000250135,0.667,1,
ENSG00000116990,3.256,1,MYCL
ENSG00000236546,0.785,1,
ENSG00000174332,2.812,1,GLIS1
ENSG00000236648,0.61,1,
ENSG00000117148,1.841,1,ACTL8
ENSG00000189409,1.326,1,MMP23B
ENSG00000284653,2.013,1,
ENSG00000261781,2.471,1,LINC01654
ENSG00000237276,0.328,1,ANO7L1
ENSG00000230035,0.43,1,IGSF21-AS1
ENSG00000117154,1.892,1,IGSF21
ENSG00000181817,1.006,1,LSM10
ENSG00000278480,0.966,1,
ENSG00000280222,6.473,1,
ENSG00000132881,1.574,1,CPLANE2
ENSG00000228477,0.725,1,
ENSG00000168389,2.154,1,MFSD2A
ENSG00000233929,0.186,1,MT1XP1
ENSG00000037637,6.227,1,FBXO42
ENSG00000158748,3.8,1,HTR6
ENSG00000126106,1.846,1,TMEM53
ENSG00000162542,2.974,1,TMCO4
ENSG00000187147,3.099,1,RNF220
ENSG00000084652,4.865,1,TXLNA
ENSG00000225387,0.491,1,
ENSG00000179023,5.145,1,KLHDC7A
ENSG00000229444,0.469,1,
ENSG00000233674,0.271,1,
ENSG00000126091,0.703,1,ST3GAL3
ENSG00000116885,0.505,1,OSCP1
ENSG00000235282,0.266,1,DYNLL1P3
ENSG00000225478,0.223,1,
ENSG00000009709,6.213,1,PAX7
ENSG00000187144,0.661,1,SPATA21
ENSG00000236045,0.727,1,
ENSG00000142621,0.57,1,FHAD1
ENSG00000160050,1.089,1,CCDC28B
ENSG00000055070,0.49,1,SZRD1
ENSG00000160051,2.027,1,IQCC
ENSG00000224066,0.642,1,
ENSG00000226457,0.381,1,RPL22P3
ENSG00000233485,3.105,1,
ENSG00000169991,6.179,1,IFFO2
ENSG00000235434,0.447,1,
ENSG00000178828,1.255,1,RNF186
ENSG00000255275,4.369,1,
ENSG00000159423,2.124,1,ALDH4A1
ENSG00000169914,6.515,1,OTUD3
ENSG00000188784,0.785,1,PLA2G2E
ENSG00000179002,2.542,1,TAS1R2
ENSG00000188257,0.871,1,PLA2G2A
ENSG00000116898,0.953,1,MRPS15
ENSG00000189339,6.283,1,SLC35E2B
ENSG00000269737,1.422,1,
ENSG00000272004,0.4,1,
ENSG00000162408,6.627,1,NOL9
ENSG00000058804,4.552,1,NDC1
ENSG00000229519,0.401,1,
ENSG00000173662,2.764,1,TAS1R1
ENSG00000215914,1.017,1,MMP23A
ENSG00000127472,1.871,1,PLA2G5
ENSG00000215900,0.252,1,SELENOWP1
ENSG00000225142,0.436,1,
ENSG00000084623,0.564,1,EIF3I
ENSG00000084628,2.922,1,NKAIN1
ENSG00000204859,1.05,1,ZBTB48
ENSG00000160055,2.736,1,TMEM234
ENSG00000222046,1.349,1,DCDC2B
ENSG00000117215,2.672,1,PLA2G2D
ENSG00000060688,1.615,1,SNRNP40
ENSG00000158786,2.723,1,PLA2G2F
ENSG00000229447,0.437,1,
ENSG00000119535,3.373,1,CSF3R
ENSG00000228140,5.178,1,
ENSG00000142634,2.422,1,EFHD2
ENSG00000215790,2.078,1,SLC35E2A
ENSG00000268575,5.079,1,
ENSG00000227775,0.409,1,
ENSG00000008128,2.653,1,CDK11A
ENSG00000162438,0.898,1,CTRC
ENSG00000121766,1.605,1,ZCCHC17
ENSG00000198520,0.837,1,ARMH1
ENSG00000227066,1.083,1,
ENSG00000187980,3.249,1,PLA2G2C
ENSG00000225986,0.51,1,UBXN10-AS1
ENSG00000162543,5.562,1,UBXN10
ENSG00000131238,4.01,1,PPT1
ENSG00000228105,0.48,1,LINC01757
ENSG00000284710,0.831,1,
ENSG00000229044,0.439,1,
ENSG00000226664,0.229,1,
ENSG00000158816,3.776,1,VWA5B1
ENSG00000186118,1.003,1,TEX38
ENSG00000233647,0.466,1,NENFP1
ENSG00000123472,4.158,1,ATPAF1
ENSG00000131236,3.105,1,CAP1
ENSG00000066135,4.486,1,KDM4A
ENSG00000284989,4.037,1,
ENSG00000224751,1.312,1,SHMT1P1
ENSG00000236200,0.592,1,KDM4A-AS1
ENSG00000162413,4.487,1,KLHL21
ENSG00000116273,3.632,1,PHF13
ENSG00000121769,0.725,1,FABP3
ENSG00000168528,2.146,1,SERINC2
ENSG00000220785,1.878,1,MTMR9LP
ENSG00000183615,0.947,1,FAM167B
ENSG00000261664,0.812,1,TTC39A-AS1
ENSG00000085831,1.78,1,TTC39A
ENSG00000215899,1.342,1,
ENSG00000229167,0.591,1,
ENSG00000260386,2.113,1,LINC01225
ENSG00000142910,2.207,1,TINAGL1
ENSG00000225721,0.51,1,
ENSG00000142937,0.694,1,RPS8
ENSG00000284543,0.554,1,LINC01226
ENSG00000142945,1.124,1,KIF2C
ENSG00000230214,0.523,1,FTLP18
ENSG00000284705,2.694,1,
ENSG00000284720,1.521,1,
ENSG00000228237,0.5,1,EFCAB14-AS1
ENSG00000159658,5.817,1,EFCAB14
ENSG00000234481,0.463,1,
ENSG00000163873,9.491,1,GRIK3
ENSG00000236963,2.993,1,LINC01141
ENSG00000007923,3.014,1,DNAJC11
ENSG00000226487,0.376,1,
ENSG00000204138,0.597,1,PHACTR4
ENSG00000284743,0.674,1,
ENSG00000284641,0.986,1,
ENSG00000162545,2.326,1,CAMK2N1
ENSG00000041988,1.366,1,THAP3
ENSG00000229820,0.394,1,
ENSG00000132906,4.463,1,CASP9
ENSG00000284650,1.039,1,
ENSG00000223944,0.596,1,
ENSG00000230451,0.145,1,RPS29P6
ENSG00000233621,1.395,1,LINC01137
ENSG00000163874,2.654,1,ZC3H12A
ENSG00000215704,0.81,1,CELA2B
ENSG00000182866,2.091,1,LCK
ENSG00000142615,0.532,1,CELA2A
ENSG00000157191,2.018,1,NECAP2
ENSG00000236476,0.805,1,
ENSG00000226029,3.245,1,LINC01772
ENSG00000080947,5.368,1,CROCCP3
ENSG00000090432,2.428,1,MUL1
ENSG00000163875,2.147,1,MEAF6
ENSG00000215520,0.763,1,RPS4XP4
ENSG00000183114,2.448,1,FAM43B
ENSG00000158825,0.809,1,CDA
ENSG00000117242,4.443,1,PINK1-AS
ENSG00000244038,1.963,1,DDOST
ENSG00000158828,2.657,1,PINK1
ENSG00000229687,0.286,1,
ENSG00000224174,0.327,1,
ENSG00000285853,1.558,1,
ENSG00000261135,1.11,1,
ENSG00000163877,4.554,1,SNIP1
ENSG00000233421,1.548,1,LINC01783
ENSG00000225710,0.882,1,
ENSG00000232273,0.532,1,FTH1P1
ENSG00000219481,5.932,1,NBPF1
ENSG00000226745,0.685,1,
ENSG00000117000,6.232,1,RLF
ENSG00000142973,0.581,1,CYP4B1
ENSG00000180198,2.686,1,RCC1
ENSG00000271732,0.339,1,
ENSG00000282143,0.817,1,
ENSG00000186301,2.291,1,MST1P2
ENSG00000215908,1.296,1,CROCCP2
ENSG00000283773,0.166,1,
ENSG00000231468,0.611,1,PRDX3P2
ENSG00000242125,2.201,1,SNHG3
ENSG00000058799,1.602,1,YIPF1
ENSG00000188800,0.551,1,TMCO2
ENSG00000259943,1.541,1,
ENSG00000237749,0.253,1,
ENSG00000134697,0.635,1,GNL2
ENSG00000163879,2.628,1,DNALI1
ENSG00000127481,15.892,1,UBR4
ENSG00000084073,2.975,1,ZMPSTE24
ENSG00000231296,0.313,1,
ENSG00000211452,0.71,1,DIO1
ENSG00000116478,2.118,1,HDAC1
ENSG00000234093,0.385,1,RPS15AP11
ENSG00000232027,0.955,1,
ENSG00000272084,3.402,1,
ENSG00000085832,4.736,1,EPS15
ENSG00000142959,2.512,1,BEST4
ENSG00000268869,0.571,1,ESPNP
ENSG00000121764,0.946,1,HCRTR1
ENSG00000236698,0.435,1,EIF1AXP1
ENSG00000280114,1.351,1,
ENSG00000279151,0.406,1,
ENSG00000227070,0.255,1,
ENSG00000081870,0.894,1,HSPB11
ENSG00000238140,0.678,1,
ENSG00000235790,0.695,1,
ENSG00000162517,1.614,1,PEF1
ENSG00000264078,0.48,1,
ENSG00000084636,5.418,1,COL16A1
ENSG00000284748,1.326,1,
ENSG00000175130,1.546,1,MARCKSL1
ENSG00000233775,0.687,1,
ENSG00000225828,0.699,1,FAM229A
ENSG00000162526,0.266,1,TSSK3
ENSG00000230239,0.882,1,
ENSG00000272426,0.438,1,
ENSG00000223643,0.554,1,
ENSG00000186715,3.184,1,MST1L
ENSG00000235241,0.508,1,
ENSG00000282740,0.819,1,
ENSG00000238142,0.406,1,
ENSG00000058453,1.868,1,CROCC
ENSG00000116771,3.095,1,AGMAT
ENSG00000116138,2.357,1,DNAJC16
ENSG00000235432,0.479,1,
ENSG00000117245,0.394,1,KIF17
ENSG00000228549,2.52,1,
ENSG00000227684,0.573,1,CROCCP4
ENSG00000237301,2.845,1,
ENSG00000272510,0.346,1,
ENSG00000188396,0.763,1,TCTEX1D4
ENSG00000173846,2.34,1,PLK3
ENSG00000279443,2.083,1,
ENSG00000049089,2.852,1,COL9A2
ENSG00000180098,1.799,1,TRNAU1AP
ENSG00000116212,1.764,1,LRRC42
ENSG00000197989,0.719,1,SNHG12
ENSG00000227742,0.946,1,CALR4P
ENSG00000232846,0.879,1,SLC25A6P3
ENSG00000117859,3.352,1,OSBPL9
ENSG00000169218,2.331,1,RSPO1
ENSG00000189410,3.705,1,SH2D5
ENSG00000117407,1.439,1,ARTN
ENSG00000222009,1.214,1,BTBD19
ENSG00000237950,0.486,1,
ENSG00000219102,1.063,1,HNRNPA3P12
ENSG00000117425,1.11,1,PTCH2
ENSG00000154198,1.436,1,CYP4Z2P
ENSG00000238145,1.192,1,
ENSG00000117408,3.883,1,IPO13
ENSG00000233069,0.299,1,
ENSG00000230604,0.358,1,TSEN15P2
ENSG00000272175,0.28,1,
ENSG00000236973,1,1,GAPDHP51
ENSG00000078618,1.66,1,NRDC
ENSG00000235084,0.447,1,CHCHD2P6
ENSG00000236500,0.225,1,CD24P1
ENSG00000226499,0.162,1,
ENSG00000116922,2.355,1,C1orf109
ENSG00000159363,3.996,1,ATP13A2
ENSG00000187048,2.53,1,CYP4A11
ENSG00000266993,0.232,1,
ENSG00000203985,0.654,1,LDLRAD1
ENSG00000226526,0.636,1,
ENSG00000117122,0.97,1,MFAP2
ENSG00000197312,10.667,1,DDI2
ENSG00000215695,1.854,1,RSC1A1
ENSG00000271742,0.256,1,
ENSG00000227311,0.48,1,
ENSG00000213172,0.418,1,
ENSG00000084070,0.666,1,SMAP2
ENSG00000008130,3.235,1,NADK
ENSG00000134690,2.371,1,CDCA8
ENSG00000160058,2.846,1,BSDC1
ENSG00000280378,1.755,1,
ENSG00000116209,6.691,1,TMEM59
ENSG00000127483,3.884,1,HP1BP3
ENSG00000070785,0.892,1,EIF2B3
ENSG00000229815,0.839,1,CCNB1IP1P1
ENSG00000259832,0.196,1,CYP4A26P
ENSG00000284677,0.673,1,
ENSG00000078369,3.163,1,GNB1
ENSG00000187801,2.382,1,ZFP69B
ENSG00000261196,0.121,1,CYP4A43P
ENSG00000261593,0.19,1,CYP4A27P
ENSG00000268949,3.13,1,MRPS17P1
ENSG00000232369,0.492,1,PPIAP35
ENSG00000261290,0.154,1,CYP4A44P
ENSG00000186377,2.256,1,CYP4X1
ENSG00000183317,2.096,1,EPHA10
ENSG00000231050,0.906,1,
ENSG00000169885,0.67,1,CALML6
ENSG00000260920,2.449,1,
ENSG00000279667,1.005,1,
ENSG00000187815,2.796,1,ZFP69
ENSG00000238287,0.605,1,
ENSG00000178821,0.935,1,TMEM52
ENSG00000162460,1.443,1,TMEM82
ENSG00000224459,0.639,1,SLC25A34-AS1
ENSG00000162461,3.129,1,SLC25A34
